channel_title,title,views,likes,dislikes
YouTube Spotlight,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,100911567,2656682,1353661
YouTube Spotlight,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,75969469,2251828,1127813
ibighit,BTS (방탄소년단) 'FAKE LOVE' Official MV,65396157,4750254,141966
ibighit,BTS (방탄소년단) 'FAKE LOVE' Official MV,62796390,4470923,119052
ChildishGambinoVEVO,Childish Gambino - This Is America (Official Video),60776509,2183745,104379
YouTube Spotlight,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,52611730,1891827,884962
ChildishGambinoVEVO,Childish Gambino - This Is America (Official Video),47169016,1841553,79716
LuisFonsiVEVO,"Luis Fonsi, Demi Lovato - Échame La Culpa",47078714,1763400,78228
Kylie Jenner,To Our Daughter,44818108,0,0
Kylie Jenner,To Our Daughter,40801423,0,0
NickyJamTV,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,40567774,448371,16682
Marvel Entertainment,Marvel Studios' Avengers: Infinity War - Official Trailer,39980116,1420090,26137
ibighit,BTS (방탄소년단) 'FAKE LOVE' Official MV,39349927,3880074,72707
LuisFonsiVEVO,"Luis Fonsi, Demi Lovato - Échame La Culpa",38647842,1600405,68558
Bruno Mars,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],37728802,1629948,56305
Marvel Entertainment,Marvel Studios' Avengers: Infinity War - Official Trailer,36112519,1355014,22416
Kylie Jenner,To Our Daughter,35832484,0,0
TaylorSwiftVEVO,"Taylor Swift - End Game ft. Ed Sheeran, Future",34708457,1681449,91764
Ed Sheeran,Ed Sheeran - Perfect (Official Music Video),33523622,1634134,21082
Cardi B,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",32523416,1219780,61458
Maroon5VEVO,Maroon 5 - Girls Like You ft. Cardi B,32513514,1780890,27830
ArianaGrandeVevo,Ariana Grande - No Tears Left To Cry,32331284,1890564,64058
Brytiago Cartel Records,Brytiago X Darell - Asesina 🗡,31791115,299378,11951
Bruno Mars,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],31680160,1510627,49497
ChildishGambinoVEVO,Childish Gambino - This Is America (Official Video),31648454,1405381,51548
NickyJamTV,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial,30686233,304510,10540
Marvel Entertainment,Marvel Studios' Avengers: Infinity War - Official Trailer,30180849,1242234,16902
LuisFonsiVEVO,"Luis Fonsi, Demi Lovato - Échame La Culpa",29943556,1388759,54752
TaylorSwiftVEVO,Taylor Swift - Delicate,29923522,1395755,76072
TaylorSwiftVEVO,"Taylor Swift - End Game ft. Ed Sheeran, Future",29743367,1574079,84550
AsapSCIENCE,Do You Hear Yanny or Laurel? (SOLVED with SCIENCE),29403688,452729,24543
Lil pump,Lil Pump - ESSKEETIT (Official Music Video),28997182,1461135,112987
DrakeVEVO,Drake - God’s Plan,28866802,1997355,21453
FoxStarHindi,Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani,28572753,646407,21140
Sony Pictures Entertainment,VENOM - Official Trailer (HD),27973210,850373,26543
Maroon5VEVO,Maroon 5 - Girls Like You ft. Cardi B,25497666,1547857,23176
Cardi B,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",25430376,1099213,53271
ArianaGrandeVevo,Ariana Grande - No Tears Left To Cry,25066435,1689631,54933
MalumaVEVO,Maluma - El Préstamo (Official Video),24907224,420321,32198
YouTube Spotlight,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,24784870,1149222,483950
TaylorSwiftVEVO,Taylor Swift - Delicate,24262331,1249408,64942
Coachella,Coachella 2018 LIVE Channel 1,24004779,0,0
Bruno Mars,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],23983717,1326440,40736
DrakeVEVO,Drake - God’s Plan,23945951,1815675,18163
PrinceRoyceVEVO,Prince Royce - El Clavo (Official Video),23869973,163626,10630
AsapSCIENCE,Do You Hear Yanny or Laurel? (SOLVED with SCIENCE),23789688,393116,20520
Lil pump,Lil Pump - ESSKEETIT (Official Music Video),23332762,1323211,94384
TaylorSwiftVEVO,"Taylor Swift - End Game ft. Ed Sheeran, Future",23198594,1404644,72533
PrinceRoyceVEVO,Prince Royce - El Clavo (Official Video),22975732,158755,10267
20th Century Fox,Deadpool 2 | The Trailer,22762717,485947,10383
jbalvinVEVO,"J. Balvin, Jeon, Anitta - Machika",21836024,700178,55803
FoxStarHindi,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,21739537,549875,16991
Eurovision Song Contest,Netta - Toy - Israel - LIVE - Grand Final - Eurovision 2018,20929664,184529,361763
David Dobrik,we broke up,20928215,1535643,71750
Kylie Jenner,To Our Daughter,20921796,0,0
Dude Perfect,Real Life Trick Shots 2 | Dude Perfect,20761480,871933,11595
Cardi B,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",20723565,1018786,48090
Disney•Pixar,Incredibles 2 - Olympics Sneak Peek,20680316,394717,12869
ibighit,BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,20565795,2320652,33226
Marvel Entertainment,Marvel Studios' Avengers: Infinity War - Official Trailer,19716689,975752,9120
Eurovision Song Contest,Netta - Toy - Israel - LIVE - Grand Final - Eurovision 2018,19424289,169615,333250
20th Century Fox,Deadpool 2 | The Trailer,19336751,442154,8137
Ed Sheeran,Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],19316205,842332,15673
BeckyGVEVO,"Becky G, Natti Natasha - Sin Pijama (Official Video)",19259963,623787,53529
Logan Paul Vlogs,Suicide: Be Here Tomorrow.,19092511,1782258,398361
